age,listening_time,songs_played_per_day,skip_rate,ads_listened_per_week,is_churned
47,287,69,0.22,0,0
26,134,98,0.18,0,0
46,173,44,0.57,0,0
32,90,86,0.42,0,0
50,107,76,0.02,0,1
46,42,77,0.34,0,0
55,96,73,0.24,0,0
47,74,62,0.47,0,0
28,243,67,0.02,0,0
17,206,27,0.42,49,0
20,108,26,0.17,0,0
56,167,51,0.2,0,0
18,131,7,0.27,0,0
57,64,71,0.03,0,0
42,210,13,0.32,0,0
16,179,80,0.6,0,0
40,30,4,0.16,16,0
20,57,8,0.57,0,0
54,275,47,0.11,0,0
48,70,70,0.06,0,0
26,270,4,0.15,0,1
30,82,81,0.41,0,0
23,20,90,0.01,44,1
23,101,88,0.45,0,1
28,240,28,0.22,16,0
19,279,85,0.12,0,0
26,123,39,0.03,0,0
16,76,30,0.58,6,1
42,86,42,0.03,0,0
47,135,28,0.32,34,0
21,286,5,0.31,0,0
41,232,94,0.16,0,0
37,37,55,0.44,0,0
44,133,18,0.4,11,0
30,187,56,0.31,0,0
53,15,27,0.46,43,1
29,191,43,0.11,0,0
19,148,13,0.34,0,0
28,229,12,0.48,0,0
44,262,43,0.31,0,0
34,152,22,0.04,14,0
17,179,92,0.53,6,0
18,123,81,0.34,28,0
24,76,26,0.04,0,0
58,298,82,0.36,0,0
52,152,1,0.29,0,0
38,279,83,0.55,18,0
38,224,81,0.21,0,0
40,155,61,0.46,0,1
32,204,87,0.42,14,0
20,215,71,0.56,0,0
16,93,58,0.45,26,0
20,105,75,0.25,0,0
31,236,11,0.13,0,0
58,47,96,0.35,0,1
52,114,92,0.03,19,0
26,275,19,0.17,0,0
17,280,93,0.1,0,0
27,216,49,0.05,31,0
36,265,25,0.19,0,0
17,288,93,0.17,0,0
26,106,44,0.17,0,0
33,244,54,0.43,0,0
24,239,37,0.27,36,1
35,172,25,0.42,0,1
22,143,3,0.54,0,0
37,189,77,0.05,39,0
50,67,76,0.27,0,1
41,196,98,0.24,13,0
58,11,71,0.56,0,0
35,211,50,0.29,12,0
51,127,59,0.21,0,0
39,224,35,0.52,0,1
19,285,92,0.48,17,0
48,123,37,0.27,0,0
36,202,48,0.57,0,0
26,245,61,0.48,0,0
51,157,9,0.57,0,0
28,267,64,0.02,0,1
28,187,16,0.21,0,0
21,106,46,0.49,0,0
55,13,54,0.26,0,0
55,236,48,0.25,8,0
31,148,93,0.55,8,0
49,263,43,0.52,0,0
29,186,57,0.38,0,1
34,54,36,0.09,0,0
57,225,9,0.03,0,1
29,97,26,0.44,0,0
17,156,23,0.03,0,0
49,150,6,0.25,0,0
51,251,10,0.23,28,0
52,269,53,0.07,0,0
29,114,32,0.1,12,0
57,247,32,0.32,36,1
53,49,83,0.55,0,0
48,202,63,0.54,0,0
53,202,65,0.18,0,1
39,172,8,0.19,0,1
18,226,7,0.32,0,0
26,80,73,0.4,5,0
36,25,33,0.38,0,0
25,216,91,0.13,0,0
43,92,18,0.19,25,0
46,122,46,0.31,0,0
38,93,91,0.29,29,0
42,65,87,0.24,23,0
57,125,20,0.1,0,0
35,259,96,0.48,0,1
58,241,64,0.28,0,0
16,180,8,0.06,43,0
34,213,79,0.51,0,1
35,233,41,0.14,0,0
25,44,80,0.42,0,0
18,255,3,0.39,0,0
18,284,1,0.13,0,1
52,59,79,0.48,0,1
39,133,52,0.57,0,0
35,60,45,0.27,0,0
58,26,55,0.59,0,0
57,266,19,0.36,35,0
44,95,71,0.38,0,1
59,149,46,0.53,0,0
37,286,75,0.21,0,0
45,81,70,0.43,0,1
35,140,62,0.14,0,0
19,145,67,0.25,0,0
30,129,12,0.01,0,0
21,50,47,0.37,24,0
29,52,1,0.36,0,0
53,211,60,0.46,0,1
16,232,26,0.09,26,1
43,285,90,0.26,0,0
55,220,54,0.31,0,1
30,146,93,0.33,28,0
21,236,85,0.16,18,0
41,214,11,0.18,0,0
47,108,69,0.04,0,1
25,205,39,0.55,0,0
52,38,85,0.23,0,1
34,138,41,0.04,0,0
25,201,31,0.17,0,1
37,40,91,0.57,0,0
42,197,42,0.54,0,0
22,87,39,0.5,0,0
31,172,41,0.08,0,0
32,51,8,0.29,0,0
30,206,88,0.22,39,0
43,152,55,0.3,0,0
35,216,20,0.41,0,0
35,172,5,0.05,27,0
24,191,54,0.58,0,0
27,31,45,0.18,0,0
47,55,7,0.54,0,0
30,185,36,0.15,0,1
46,251,63,0.34,0,0
38,31,48,0.23,0,0
25,41,62,0.34,0,0
17,269,45,0.53,0,0
59,113,33,0.4,0,0
50,74,80,0.59,25,0
18,117,2,0.08,29,0
33,77,56,0.34,0,0
51,127,62,0.17,0,1
16,280,56,0.01,35,0
37,192,7,0.39,0,0
33,50,85,0.43,0,0
27,226,39,0.12,0,0
49,162,37,0.1,0,1
53,22,35,0.24,0,1
42,222,95,0.04,29,0
22,98,37,0.39,0,0
27,92,43,0.32,0,0
17,89,15,0.19,40,1
42,31,61,0.29,0,0
56,175,67,0.38,0,0
20,215,9,0.0,0,0
30,32,42,0.52,0,1
34,175,14,0.07,48,0
39,114,90,0.37,30,0
47,244,14,0.42,0,1
26,290,66,0.36,0,0
22,118,95,0.48,0,1
56,264,95,0.52,35,0
36,244,27,0.51,0,1
23,294,27,0.37,0,1
49,82,53,0.4,0,1
16,111,78,0.24,12,0
36,278,55,0.11,27,1
23,210,66,0.01,0,0
32,62,43,0.01,47,0
48,183,63,0.36,0,1
40,132,39,0.09,0,0
57,86,83,0.09,0,0
35,248,92,0.18,35,1
52,16,88,0.49,0,0
46,290,60,0.42,0,0
44,232,39,0.54,0,0
58,44,30,0.59,18,0
49,75,81,0.57,0,1
53,101,64,0.35,20,0
59,23,14,0.47,0,0
17,50,19,0.32,0,0
39,44,54,0.52,0,0
59,135,99,0.57,0,1
27,80,74,0.42,0,1
41,161,83,0.05,0,0
50,129,50,0.34,0,0
17,256,75,0.54,0,0
29,238,61,0.09,0,0
57,30,43,0.32,0,0
46,103,40,0.33,0,0
39,31,85,0.13,25,0
42,268,64,0.22,44,0
48,198,63,0.23,0,0
24,276,46,0.16,0,0
16,67,52,0.29,0,0
42,299,32,0.39,0,0
53,165,67,0.25,0,0
21,126,96,0.02,0,0
33,253,67,0.54,34,0
41,33,1,0.08,0,1
34,103,15,0.39,0,1
44,75,21,0.17,19,0
23,71,15,0.03,0,0
18,263,73,0.45,0,0
19,120,43,0.15,0,0
38,205,25,0.02,33,0
20,258,60,0.12,5,0
26,183,48,0.43,41,0
53,52,65,0.47,0,0
22,19,13,0.53,0,0
31,299,52,0.21,0,0
39,20,43,0.56,0,0
25,290,76,0.4,0,0
20,218,33,0.26,30,0
52,151,77,0.03,46,0
49,207,85,0.29,0,1
58,293,47,0.06,0,0
48,23,76,0.01,17,0
31,145,62,0.04,30,1
50,260,7,0.09,0,0
54,271,82,0.11,0,0
48,104,33,0.56,22,0
21,86,42,0.56,0,0
20,142,95,0.6,29,1
16,117,62,0.05,0,0
39,295,20,0.09,21,1
59,243,62,0.51,0,0
38,55,26,0.23,45,1
44,117,15,0.12,0,0
32,52,52,0.47,0,1
35,101,27,0.55,0,1
44,242,22,0.48,0,0
41,27,76,0.15,0,0
46,42,84,0.1,0,1
50,128,64,0.45,0,0
44,209,34,0.44,19,0
17,61,91,0.6,0,0
36,118,26,0.53,41,0
21,24,31,0.3,0,1
21,146,16,0.08,0,1
36,108,15,0.04,0,1
29,292,21,0.43,0,0
38,186,43,0.54,8,0
47,88,2,0.33,0,0
16,51,85,0.17,0,0
26,18,12,0.38,0,0
39,131,63,0.01,0,0
16,72,95,0.17,43,0
29,28,60,0.26,47,0
34,18,69,0.11,26,1
35,267,63,0.6,0,0
20,298,65,0.4,0,0
53,283,85,0.3,0,0
17,214,78,0.58,43,0
50,36,21,0.03,0,1
18,118,65,0.36,0,0
19,241,20,0.03,0,0
54,79,76,0.42,0,0
53,45,77,0.55,0,0
56,138,47,0.56,0,1
38,240,78,0.41,0,0
50,272,60,0.32,5,0
58,280,21,0.06,0,0
36,226,24,0.08,0,1
55,236,34,0.38,47,0
48,103,88,0.54,0,0
21,32,34,0.52,14,1
49,266,2,0.46,16,1
49,295,17,0.4,31,0
42,169,69,0.49,48,0
16,14,75,0.36,0,0
33,237,62,0.41,0,0
45,172,60,0.06,0,1
40,163,11,0.3,0,0
47,92,95,0.21,0,0
20,96,50,0.49,0,1
18,98,65,0.05,0,1
28,63,82,0.17,0,1
20,108,90,0.56,0,0
54,296,74,0.22,10,0
17,275,78,0.11,0,0
49,113,42,0.32,0,0
27,77,5,0.49,0,0
33,149,25,0.58,0,0
22,221,59,0.45,0,0
45,236,31,0.38,0,0
45,134,92,0.31,0,0
31,90,65,0.25,0,1
28,32,92,0.37,0,1
47,240,47,0.16,0,0
18,23,39,0.22,0,1
17,66,25,0.52,18,0
47,189,77,0.3,39,0
33,278,70,0.24,0,0
48,224,41,0.45,11,0
20,172,70,0.19,0,0
21,81,51,0.24,0,0
33,86,57,0.26,0,0
17,95,79,0.53,0,1
16,150,74,0.01,0,1
52,151,59,0.32,0,0
44,137,38,0.2,0,0
59,136,62,0.39,23,1
33,236,64,0.34,0,0
45,186,7,0.41,27,0
19,206,66,0.55,0,0
51,27,35,0.33,0,0
43,32,94,0.06,0,0
28,146,68,0.03,0,0
18,221,21,0.29,0,1
47,119,24,0.47,14,0
32,113,90,0.48,0,0
56,280,4,0.14,0,0
19,130,17,0.35,0,0
56,289,3,0.05,37,1
51,84,23,0.26,0,1
30,251,59,0.11,28,0
53,139,1,0.54,0,0
33,74,67,0.15,14,0
42,235,68,0.07,0,0
50,281,42,0.36,40,0
33,287,53,0.02,0,0
36,72,3,0.15,48,0
54,62,19,0.35,0,1
45,99,84,0.58,0,1
44,35,14,0.44,0,0
50,85,64,0.14,0,0
24,164,84,0.02,0,1
31,76,6,0.02,0,0
44,10,57,0.06,39,0
27,93,68,0.39,36,0
24,105,3,0.01,0,0
59,229,96,0.35,0,0
20,38,11,0.47,0,0
57,130,66,0.43,0,0
41,57,72,0.09,0,1
45,214,9,0.18,0,0
34,74,71,0.24,0,0
16,93,71,0.43,21,0
50,97,74,0.32,29,0
46,261,12,0.6,47,0
41,201,46,0.13,0,0
49,121,99,0.28,47,0
55,63,75,0.46,0,1
50,217,46,0.52,0,0
25,56,53,0.12,0,1
33,31,91,0.46,0,0
23,180,63,0.01,0,0
24,133,58,0.54,36,1
34,25,76,0.45,0,0
53,269,43,0.19,0,0
29,154,98,0.58,0,0
25,230,25,0.26,0,0
18,268,21,0.36,0,1
23,279,35,0.08,0,0
29,50,85,0.55,0,1
19,257,91,0.48,0,0
44,68,32,0.18,35,1
36,203,72,0.19,0,0
54,38,22,0.13,0,0
55,41,5,0.48,25,0
43,266,9,0.07,0,0
59,115,35,0.3,0,1
19,16,48,0.06,47,0
42,51,78,0.06,0,1
57,82,96,0.43,0,1
45,282,73,0.29,0,1
39,128,21,0.31,0,0
40,49,1,0.47,0,1
39,271,54,0.55,0,1
45,179,74,0.45,0,0
51,160,10,0.31,0,0
21,230,46,0.44,0,0
40,231,60,0.15,0,0
17,234,45,0.01,0,0
36,254,73,0.24,0,0
39,94,80,0.23,0,0
23,218,90,0.38,0,0
51,128,97,0.13,0,0
56,273,29,0.23,0,1
21,264,95,0.24,47,1
16,65,95,0.59,11,0
26,146,4,0.59,16,0
40,212,75,0.3,0,0
53,276,4,0.49,0,0
55,197,12,0.37,19,0
30,192,73,0.31,0,1
31,46,28,0.49,9,0
29,256,47,0.58,0,0
33,18,73,0.22,0,0
42,42,34,0.6,0,1
58,136,57,0.47,0,0
28,71,18,0.42,0,0
38,57,92,0.23,0,0
33,160,40,0.03,18,0
18,195,95,0.06,6,0
39,296,9,0.0,18,1
56,294,20,0.1,7,1
39,288,69,0.48,0,0
51,230,72,0.05,32,0
20,260,99,0.34,0,0
24,205,29,0.47,0,0
33,165,51,0.52,0,1
55,14,68,0.42,0,0
19,87,61,0.45,16,0
46,213,44,0.35,32,0
25,146,37,0.1,0,1
36,242,47,0.12,0,0
45,55,67,0.51,0,1
28,30,14,0.18,0,0
34,105,24,0.58,0,0
24,195,63,0.37,0,0
27,174,6,0.54,7,0
18,70,51,0.4,0,0
37,276,13,0.41,0,0
55,248,54,0.48,7,0
48,259,21,0.19,43,0
47,164,42,0.38,0,0
41,36,67,0.42,0,0
33,202,21,0.51,0,1
19,163,58,0.58,0,0
24,171,38,0.28,43,0
45,23,18,0.27,0,1
39,180,29,0.16,44,1
31,200,24,0.15,0,0
19,129,97,0.28,0,1
46,99,86,0.24,0,0
16,255,71,0.02,0,1
43,180,16,0.3,0,0
34,187,63,0.35,29,1
18,139,58,0.09,0,1
37,266,49,0.6,0,0
34,21,77,0.56,0,0
57,32,10,0.01,35,0
53,164,82,0.29,0,1
39,199,34,0.12,0,0
54,16,14,0.59,0,0
32,267,14,0.56,0,0
24,10,85,0.33,0,0
44,107,4,0.53,0,1
38,157,57,0.4,40,1
41,118,94,0.53,0,1
53,67,59,0.51,0,0
17,196,21,0.54,0,0
21,283,45,0.42,0,0
51,279,13,0.22,0,1
25,111,83,0.19,0,0
57,234,32,0.14,44,0
51,79,71,0.11,0,0
20,233,90,0.4,47,0
26,279,39,0.45,0,0
59,157,68,0.01,0,0
39,93,92,0.01,0,0
46,40,29,0.24,0,0
57,123,62,0.04,0,0
40,114,88,0.55,0,0
53,147,19,0.49,0,0
43,150,66,0.3,0,0
29,144,94,0.33,19,0
52,120,84,0.5,0,0
33,182,67,0.49,31,0
39,226,71,0.02,0,0
41,219,54,0.21,0,1
44,255,36,0.09,0,0
51,114,56,0.36,0,0
16,268,16,0.33,0,1
51,166,77,0.29,0,0
40,111,89,0.25,0,0
38,16,50,0.48,20,1
35,236,59,0.27,46,0
39,104,83,0.16,0,0
28,62,61,0.5,45,0
24,220,34,0.17,0,0
27,219,50,0.42,16,0
47,72,69,0.49,27,0
32,114,34,0.16,16,0
51,54,53,0.1,0,0
44,11,82,0.37,36,1
57,67,58,0.31,0,1
39,260,29,0.5,0,0
32,157,97,0.09,0,0
47,227,6,0.13,0,0
53,100,42,0.01,21,1
54,264,67,0.27,0,0
27,275,46,0.17,0,0
33,279,66,0.13,0,0
22,18,12,0.39,0,0
29,194,38,0.47,0,0
35,76,84,0.14,0,0
54,70,56,0.37,14,0
47,120,26,0.48,0,0
37,133,67,0.17,0,0
58,295,12,0.49,0,0
48,130,3,0.3,0,0
29,81,90,0.29,8,0
42,47,35,0.25,14,0
23,207,86,0.06,0,0
59,295,8,0.41,47,1
32,198,5,0.21,0,0
19,222,80,0.46,0,0
32,290,54,0.28,0,1
20,23,15,0.12,5,0
47,184,55,0.01,0,1
20,28,88,0.19,0,0
48,69,79,0.45,0,0
57,45,59,0.12,0,0
45,91,28,0.43,26,0
22,160,55,0.26,0,1
19,51,76,0.04,0,0
35,178,31,0.59,36,0
19,26,2,0.58,35,1
26,17,26,0.25,0,0
50,157,32,0.42,0,0
44,67,34,0.4,0,1
21,282,21,0.02,0,0
57,204,21,0.3,0,0
26,206,5,0.1,0,0
42,132,62,0.44,0,0
43,123,50,0.03,0,0
27,53,82,0.48,0,0
26,245,71,0.37,0,1
20,111,13,0.5,0,0
28,263,40,0.27,0,0
19,276,72,0.2,0,0
30,21,62,0.09,0,0
49,173,5,0.39,0,0
17,90,1,0.07,0,0
22,245,50,0.01,47,0
17,296,80,0.02,0,0
37,138,98,0.54,17,1
32,105,17,0.17,0,0
40,10,54,0.5,0,0
22,139,65,0.57,11,1
49,155,13,0.32,0,1
40,281,77,0.38,0,0
53,280,74,0.39,6,1
16,49,47,0.38,0,0
48,113,94,0.18,0,0
42,140,20,0.37,35,0
50,139,97,0.12,0,0
47,240,61,0.56,0,0
52,232,22,0.51,0,1
35,242,34,0.57,0,0
47,150,52,0.03,0,0
28,123,71,0.43,31,0
41,130,88,0.51,0,1
29,63,99,0.38,0,0
50,272,62,0.58,0,0
58,295,72,0.43,0,0
55,179,1,0.21,0,0
28,293,40,0.25,0,0
36,54,24,0.56,0,1
52,167,59,0.31,12,1
32,77,43,0.1,37,1
16,238,3,0.44,0,0
52,180,42,0.45,0,1
35,283,39,0.12,0,0
16,220,78,0.22,0,0
51,126,63,0.39,0,0
17,115,8,0.2,42,0
30,266,81,0.45,34,0
50,17,78,0.26,0,0
36,242,7,0.04,0,0
37,100,46,0.02,0,1
46,72,22,0.19,0,0
30,115,68,0.49,0,0
52,225,46,0.15,0,0
26,237,33,0.16,0,0
17,134,6,0.51,0,0
54,144,77,0.05,37,0
40,175,20,0.41,0,0
24,223,31,0.09,0,0
18,155,45,0.42,0,1
53,244,82,0.31,0,0
34,200,17,0.31,0,1
42,49,1,0.56,0,0
56,285,96,0.2,0,0
25,107,83,0.13,17,0
38,229,73,0.55,0,1
32,159,88,0.31,0,0
22,169,41,0.47,0,0
43,188,82,0.52,0,0
25,31,15,0.01,38,0
41,107,59,0.4,0,0
41,170,18,0.55,0,0
41,229,15,0.56,0,0
43,167,59,0.45,0,0
21,262,39,0.23,0,0
39,115,84,0.55,0,0
31,180,7,0.44,44,0
45,204,93,0.33,0,0
29,280,45,0.05,0,1
35,259,15,0.29,9,0
28,280,9,0.33,0,0
17,298,37,0.22,0,1
33,112,17,0.15,0,0
43,82,11,0.49,0,0
36,106,30,0.47,35,0
55,274,64,0.43,0,0
43,277,9,0.48,14,0
35,48,5,0.44,0,0
46,283,33,0.4,0,0
39,211,60,0.16,0,1
38,283,65,0.33,0,1
35,246,46,0.13,18,0
17,281,4,0.38,0,0
36,176,15,0.11,0,0
59,34,63,0.39,0,1
30,141,45,0.12,0,0
52,174,44,0.5,0,0
25,177,10,0.06,35,0
29,113,97,0.23,0,0
19,41,10,0.37,0,0
51,143,35,0.08,23,0
37,22,91,0.3,0,0
17,191,24,0.02,0,0
56,88,1,0.47,0,0
18,180,84,0.05,0,0
30,175,25,0.57,0,0
44,67,80,0.07,35,0
49,26,87,0.44,0,0
41,34,66,0.27,10,1
35,200,82,0.03,37,0
58,258,79,0.53,0,0
59,203,66,0.48,0,0
55,190,5,0.58,0,0
16,145,48,0.52,44,0
40,267,17,0.14,0,0
56,209,70,0.48,0,0
31,82,37,0.56,0,0
30,21,67,0.37,0,0
26,241,54,0.35,0,0
32,264,56,0.23,47,0
38,226,44,0.26,0,0
42,212,17,0.35,45,1
58,269,92,0.59,0,0
25,262,9,0.02,35,0
37,237,97,0.53,0,0
37,244,13,0.31,0,0
58,69,27,0.23,0,0
52,260,11,0.12,11,0
48,86,87,0.08,0,0
48,151,93,0.31,0,0
16,214,6,0.15,0,1
58,213,86,0.29,0,0
53,48,3,0.11,0,0
28,233,63,0.03,0,1
23,273,14,0.12,0,0
52,168,87,0.22,34,0
24,216,40,0.4,0,0
26,171,49,0.21,40,0
22,224,80,0.54,0,0
35,51,6,0.19,0,0
45,227,14,0.28,17,1
55,203,4,0.31,10,0
48,183,43,0.26,0,0
59,165,76,0.1,0,1
26,228,76,0.1,0,0
41,125,24,0.6,0,0
16,25,28,0.57,0,0
52,228,82,0.43,0,0
52,138,45,0.59,0,0
54,125,11,0.21,0,0
44,199,90,0.53,0,0
39,32,34,0.48,0,0
32,204,16,0.53,0,1
56,143,19,0.11,25,0
37,75,13,0.18,36,0
54,161,50,0.11,30,0
29,66,89,0.14,0,0
50,47,62,0.41,39,0
59,136,36,0.21,0,1
38,105,28,0.45,40,0
18,45,55,0.6,0,1
51,42,22,0.43,39,0
33,150,5,0.42,22,0
17,228,5,0.07,0,0
37,171,65,0.52,0,1
40,250,45,0.15,0,0
52,253,43,0.41,43,0
43,33,9,0.45,0,0
44,224,6,0.21,44,0
56,12,99,0.52,0,0
37,79,27,0.13,0,0
23,160,50,0.2,0,0
55,279,24,0.23,0,1
43,195,80,0.17,28,0
32,73,20,0.58,0,0
42,272,5,0.39,0,0
56,29,21,0.18,0,1
31,239,34,0.35,0,0
37,298,78,0.6,0,0
47,266,52,0.54,0,1
36,248,92,0.39,0,0
48,29,99,0.4,20,0
26,246,52,0.47,0,0
31,33,21,0.16,0,1
45,234,69,0.44,0,0
18,109,93,0.45,0,0
25,108,53,0.14,30,0
41,187,13,0.42,0,0
25,292,87,0.04,44,0
29,254,81,0.59,27,0
20,278,16,0.01,28,0
19,59,85,0.12,0,0
37,275,95,0.31,47,0
19,244,84,0.24,9,0
33,146,25,0.43,0,0
38,226,61,0.17,0,1
43,165,14,0.06,0,1
59,117,12,0.48,0,0
57,200,88,0.41,0,0
28,168,58,0.09,0,0
35,60,19,0.44,0,1
23,101,56,0.21,0,0
58,50,51,0.25,0,0
52,288,88,0.45,0,0
50,38,19,0.42,0,0
31,65,54,0.23,0,0
37,81,2,0.32,0,0
48,207,2,0.05,0,0
33,50,79,0.14,0,1
16,166,14,0.18,0,0
50,286,10,0.58,0,0
49,191,48,0.03,36,1
37,194,56,0.16,13,0
57,287,73,0.41,0,0
36,189,73,0.14,0,0
29,113,10,0.56,44,0
59,37,39,0.15,0,0
52,116,99,0.4,0,0
58,158,52,0.27,0,0
34,267,26,0.21,0,1
27,20,68,0.0,45,0
22,67,73,0.56,0,1
51,13,42,0.23,42,0
36,40,37,0.52,0,0
53,24,7,0.32,0,1
51,98,38,0.59,0,0
23,152,11,0.23,16,0
31,140,57,0.35,0,1
22,288,88,0.17,0,1
30,164,69,0.19,0,0
56,51,43,0.45,0,0
41,15,1,0.06,0,0
20,16,82,0.09,0,0
22,99,63,0.56,0,0
44,142,51,0.09,0,1
36,148,49,0.01,0,0
20,251,79,0.37,0,0
45,241,12,0.14,5,0
20,247,87,0.14,0,0
29,88,6,0.3,0,1
34,197,81,0.01,17,0
57,162,41,0.56,0,0
21,113,71,0.5,0,1
54,85,19,0.34,0,0
58,50,79,0.23,0,0
34,10,97,0.16,0,0
21,235,9,0.3,15,1
23,105,15,0.49,0,1
46,268,69,0.45,0,0
52,281,1,0.1,47,0
17,206,61,0.1,0,1
20,135,31,0.11,0,1
37,148,84,0.02,0,0
42,80,71,0.34,0,1
52,124,59,0.41,0,0
51,235,5,0.28,0,0
52,105,9,0.41,0,0
33,169,6,0.32,0,0
37,100,99,0.15,26,0
22,192,30,0.29,0,0
29,218,72,0.29,0,0
57,145,18,0.53,0,0
49,286,60,0.57,0,0
20,167,84,0.5,16,1
31,227,74,0.47,0,1
51,179,35,0.02,39,0
17,177,79,0.38,0,1
32,265,38,0.08,0,0
51,46,23,0.09,0,0
38,136,53,0.3,0,0
16,131,71,0.6,0,0
54,173,43,0.18,0,0
19,214,83,0.15,0,0
40,154,67,0.26,0,0
36,211,44,0.54,0,1
29,245,72,0.22,0,0
23,76,53,0.57,15,0
